                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4173,                 4.2923,                 4.2793,                0.00227,                0.63462,                0.00739,                0.00211,                 2.9727,                 4.3072,                 4.1482,                0.00048,                0.00048,                0.00048
                      2,                 3.3695,                 4.0607,                 4.0832,                0.00225,                0.63462,                0.00981,                0.00394,                 2.9996,                 4.2159,                 4.1586,             0.00093149,             0.00093149,             0.00093149
                      3,                 3.1398,                 3.9296,                 3.8329,                0.00558,                0.44231,                0.03279,                0.00852,                 3.3126,                 4.1557,                 4.7522,              0.0013335,              0.0013335,              0.0013335
                      4,                 3.0573,                 3.7498,                 3.5744,                0.00564,                0.42308,                0.02276,                0.00738,                 3.2619,                 4.2033,                 4.4887,               0.001686,               0.001686,               0.001686
                      5,                 2.9094,                 3.6445,                 3.4054,                0.16632,                0.05769,                0.02135,                0.00473,                 3.1443,                 5.2018,                 5.8747,               0.001604,               0.001604,               0.001604
                      6,                  2.842,                 3.4752,                 3.2461,                0.05971,                0.15385,                0.02078,                0.00509,                 2.9132,                 7.4053,                 4.5588,               0.001505,               0.001505,               0.001505
                      7,                 2.7625,                 3.4621,                 3.1273,                0.01326,                0.09615,                0.01141,                0.00293,                 2.8672,                 9.5191,                 4.2335,               0.001406,               0.001406,               0.001406
                      8,                  2.759,                 3.3267,                 3.1357,                0.20902,                0.13462,                0.08421,                0.01464,                 2.7539,                 4.2683,                 3.5139,               0.001307,               0.001307,               0.001307
                      9,                 2.7073,                 3.2677,                 3.1113,                0.11487,                0.11538,                0.05949,                0.01506,                 2.6776,                 3.4521,                 3.2681,               0.001208,               0.001208,               0.001208
                     10,                 2.6588,                 3.2258,                 3.0593,                0.13433,                0.19231,                0.09325,                0.02806,                 2.6479,                 3.0186,                 3.2771,               0.001109,               0.001109,               0.001109
                     11,                 2.5966,                 3.5301,                 3.0888,                0.21396,                0.15385,                0.15073,                0.03661,                 2.5374,                 3.0302,                 3.1875,                0.00101,                0.00101,                0.00101
                     12,                 2.5121,                 3.5004,                  3.014,                0.25091,                0.09615,                0.09891,                0.02997,                 2.5505,                  3.114,                 3.1876,               0.000911,               0.000911,               0.000911
                     13,                 2.4364,                 3.3249,                 2.9412,                 0.4126,                0.18923,                0.18985,                0.06115,                  2.649,                 2.9137,                 3.2005,               0.000812,               0.000812,               0.000812
                     14,                 2.4153,                 3.2664,                 2.9254,                0.08218,                0.19231,                0.04662,                0.01485,                 2.4318,                 3.2508,                  3.066,               0.000713,               0.000713,               0.000713
                     15,                 2.3264,                 3.1333,                 2.8562,                  0.045,                0.05769,                0.02369,                0.00882,                 2.4331,                 3.4152,                 3.0801,               0.000614,               0.000614,               0.000614
                     16,                 2.3361,                 3.1097,                 2.8681,                0.06841,                0.11538,                0.02878,                 0.0105,                 2.4793,                 3.3876,                 3.1096,               0.000515,               0.000515,               0.000515
                     17,                 2.3559,                  3.031,                 2.8253,                0.15112,                0.23077,                0.13685,                0.04063,                 2.3282,                 2.8508,                 2.9665,               0.000416,               0.000416,               0.000416
                     18,                 2.3077,                 2.9667,                 2.8183,                0.28685,                0.28846,                0.17766,                 0.0555,                   2.31,                 2.8009,                 2.9695,               0.000317,               0.000317,               0.000317
                     19,                 2.3075,                 2.9625,                 2.7766,                0.17265,                0.30769,                  0.148,                0.05539,                  2.311,                 2.7864,                 2.9491,               0.000218,               0.000218,               0.000218
                     20,                 2.2912,                 2.9372,                 2.7862,                0.23233,                0.32692,                0.17558,                0.06113,                  2.328,                 2.7007,                 2.9591,               0.000119,               0.000119,               0.000119
